date,cpi
Jan-2009,0.0032
Feb-2009,0.0117
Mar-2009,-0.0017
Apr-2009,0.0035
May-2009,0.0044
Jun-2009,0.0055
Jul-2009,0.0052
Aug-2009,0.0024
Sep-2009,0.0062
Oct-2009,0.0037
Nov-2009,0.0055
Dec-2009,0.0138
Jan-2010,0.0136
Feb-2010,0.0196
Mar-2010,0.0075
Apr-2010,0.0014
May-2010,0.0027
Jun-2010,0.0022
Jul-2010,0.0006
Aug-2010,0.0023
Sep-2010,0.0131
Oct-2010,0.0105
Nov-2010,0.0186
Dec-2010,0.0198
Jan-2011,0.0174
Feb-2011,0.0209
Mar-2011,0.0217
Apr-2011,0.0332
May-2011,0.0221
Jun-2011,0.0109
Jul-2011,0.0117
Aug-2011,0.0093
Sep-2011,0.0082
Oct-2011,0.0036
Nov-2011,0.0039
Dec-2011,0.0053
Jan-2012,0.01
Feb-2012,0.0137
Mar-2012,0.0016
Apr-2012,0.0005
May-2012,0.0018
Jun-2012,-0.0026
Jul-2012,-0.0029
Aug-2012,0.0063
Sep-2012,0.022
Oct-2012,0.0085
Nov-2012,0.0047
Dec-2012,0.0027
Jan-2013,0.0125
Feb-2013,0.0132
Mar-2013,-0.0019
Apr-2013,0.0002
May-2013,-0.0006
Jun-2013,0.0005
Jul-2013,0.0027
Aug-2013,0.0083
Sep-2013,0.0106
Oct-2013,0.0049
Nov-2013,0.0034
Dec-2013,0.0051
Jan-2014,0.0069
Feb-2014,0.0055
Mar-2014,-0.0044
Apr-2014,0.0008
May-2014,0.002
Jun-2014,0.0138
Jul-2014,0.0023
Aug-2014,0.0022
Sep-2014,0.004
Oct-2014,0.0011
Nov-2014,-0.0027
Dec-2014,-0.0024
Jan-2015,-0.002
Feb-2015,-0.0005
Mar-2015,0.0015
Apr-2015,0.0014
May-2015,0.0016
Jun-2015,0.0035
Jul-2015,0.0013
Aug-2015,-0.0007
Sep-2015,-0.0021
Oct-2015,0.0011
Nov-2015,0.0007
Dec-2015,0.0002
Jan-2016,0
Feb-2016,0.0042
Mar-2016,0.0057
Apr-2016,0.0033
May-2016,0.0054
Jun-2016,0.0046
Jul-2016,0.0013
Aug-2016,0.001
Sep-2016,0.0054
Oct-2016,0.0083
Nov-2016,0.0048
Dec-2016,0.0023
Jan-2017,0.0046
Feb-2017,0.0023
Mar-2017,0.0021
Apr-2017,0
May-2017,-0.0053
Jun-2017,-0.0017
Jul-2017,0.0011
Aug-2017,0.0092
Sep-2017,0.0059
Oct-2017,0.0041
Nov-2017,0.0013
Dec-2017,0.0021
Jan-2018,0.0051
Feb-2018,0.0073
Mar-2018,-0.0027
Apr-2018,0.0008
May-2018,0.0055
Jun-2018,0.0061
Jul-2018,-0.0009
Aug-2018,0.0045
Sep-2018,0.0059
Oct-2018,0.0033
Nov-2018,-0.0029
Dec-2018,-0.0025
Jan-2019,0.001
Feb-2019,0.008
Mar-2019,-0.0021
Apr-2019,0.0031
May-2019,0.0049
Jun-2019,-0.0009
Jul-2019,0.0018
Aug-2019,0.0028
Sep-2019,0.0032
Oct-2019,0.0059
Nov-2019,0.0096
Dec-2019,0.014
Jan-2020,0.0123
Feb-2020,-0.0017
Mar-2020,-0.0072
Apr-2020,-0.0154
May-2020,-0.0003
Jun-2020,0.0066
Jul-2020,0.004
Aug-2020,0.0007
Sep-2020,0.0012
Oct-2020,0.0009
Nov-2020,-0.0001
Dec-2020,0.001
Jan-2021,0.0006
Feb-2021,0.0152
Mar-2021,-0.0027
Apr-2021,-0.0004
May-2021,0.0016
Jun-2021,0.0017
Jul-2021,0.0062
Aug-2021,0.0025
Sep-2021,-0.0062
Oct-2021,-0.002
Nov-2021,0.0032
Dec-2021,-0.0018
Jan-2022,0.0019
Feb-2022,0.01
Mar-2022,0.007
Apr-2022,0.0018
May-2022,0.0038
Jun-2022,0.0069
Jul-2022,0.004
Aug-2022,0.0001
Sep-2022,0.004
Oct-2022,0.0015
Nov-2022,0.0039
Dec-2022,-0.0001
Jan-2023,0.0052
Feb-2023,0.0045
Mar-2023,-0.0023
Apr-2023,-0.0034
May-2023,0.0001
Jun-2023,0.0027
Jul-2023,0.0045
Aug-2023,0.0088
Sep-2023,0.0108
Oct-2023,0.0008
Nov-2023,0.0025
Dec-2023,0.0012